BOM combines:,,,,,,,,,,,,,,,,,,
axiom_beta_main_board_v0.37 R1.1,,,,,"Creation process: pcbom.ulp -> csv with all parameters, open csv, copy paste here, manually rearrange coloumns",,,,,,,,,,,,,
axiom_beta_interface_dummy_v0.13_r1.2,,,,,,,,,,,,,,,,,,
axiom_beta_power_board_v0.37 R1.2,,,,,,,,,,,,,,,,,,
axiom_beta_sensor_cmv12000_tht_v0.16_r1.4c,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ID,Sub-ID,Qty,Description,Package,Schematic Reference,PCB,Side,Mount,Tele ID,Digi-Key,Farnell,Mouser,Manufacturer,MPN,Source,Packaging,Note,
1,1,12,100n 10V+,0402,"C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C41, C42",MB V0.37 R1.1,BOT,SMT,"020614
",,8819742,,,GRM155R71C104KA88D,Tele,Reel,"KERK SMD 100n 0402 T:X5R	+-10% 16V 85°C
",
2,2,23,10n 10V+,0402,"C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C43",MB V0.37 R1.1,BOT,SMT,,,1828864,,"Murata
",GRM155R71C103KA01D,?,Reel,hat Tele nicht ,
3,3,1,Pin Header,1X02M/90-S,JP1,MB V0.37 R1.1,,THT,,,,,,,apertus,,,
4,4,2,High Density B2B Connector,DF12(XX)-20DP-0.5V,"PB-NW, PB-SE",MB V0.37 R1.1,,SMT,,,,,,,apertus,,Herbert: ersetzen mit neuen steckern?,
5,5,2,PCIe Connector,PCIE-36-NOPEG,"PCIE-NORTH, PCIE-SOUTH",MB V0.37 R1.1,BOT,THT,,,1753906,,,,apertus,,PCIe connector for plugin modules,
6,6,4,Pinheader (male),2X2,"PWR-NE, PWR-NW, PWR-SE, PWR-SW",MB V0.37 R1.1,,THT,,,,,Samtec,HTSW-102-14-L-S,apertus,,2.54 mm Pitch 2x2 Header,
7,7,6,4k7 1%,0402,"R1, R2, R3, R4, R5, R6",MB V0.37 R1.1,BOT,SMT,015773,,,,,,Tele,Reel,WID SMD 4k7 0402	+-1% 100mW TK100,
8,8,3,10k 1%,0402,"R9, R18, R19",MB V0.37 R1.1,BOT,SMT,015761,,,,,,Tele,Reel,WID SMD 10k 0402	+-1% 100mW TK100,
9,9,1,200k 1%,0402,R10,MB V0.37 R1.1,BOT,SMT,,,2072753,,,,?,Reel,hat Tele nicht ,
10,10,2,MACHXO2-100,MACHXO2-100TQFP,"RFE, RFW",MB V0.37 R1.1,TOP,SMT,,,,842-XO21200HC6TG100C,,,apertus,Tray,Lattice MachXO2 FPGA,
11,11,1,"SSM3K56FS,LF",SOT416,T1,MB V0.37 R1.1,BOT,SMT,,SSM3K56FSLFCT-ND,,,,,apertus,,"30 V, single N-channel Trench MOSFET",
12,12,1,PCA9540BDP,SOP65P490X300-8N,U1,MB V0.37 R1.1,TOP,SMT,,,2212116,,NXP,PCA9540BDP,apertus,,"IC,2-channel I²C-bus multiplexer, 8TSSOP",
13,13,2,PIC16F1718-I/MV,QFN40P400X400X55-29N,"U2, U3",MB V0.37 R1.1,BOT,SMT,,,,579-PIC16F1718-I/MV,Microchip,PIC16F1718-I/MV,apertus,,"PIC Microcontroller, 8BIT, 14K FLASH, 28UQFN",
14,14,2,High Density B2B Connector,FX10A-100S/10,"X-EAST, X-WEST",MB V0.37 R1.1,,SMT,,,2427555,,,,apertus,,,
15,15,2,High Density B2B Connector,100pin 61083-101402LF,"JX1, JX2",MB V0.37 R1.1,BOT,SMT,,,,,,61083-101402LF,apertus,,,
16,16,4,Samtec CLT-108-02-L-D-K-TR,Pinheader 2x8,"HDR-SE, HDR-NE, HDR-NW, HDR-SW",MB V0.37 R1.1,,SMT,,,,,Samtec,Samtec CLT-108-02-L-D-K-TR,?,Tray?,"SMT Header grid 2mm - 2x8, http://suddendocs.samtec.com/catalog_english/clt.pdf",
,,,,,,,,,,,,,,,,,,
17,1,60,100n 10V+,0402,"C1, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C93",SB THT V0.16 R1.5c,,SMT,020614,,8819742,,,,Tele,,"KERK SMD 100n 0402 T:X5R	+-10% 16V 85°C
",
18,2,12,4µ7 10V+,0402,"C72, C73, C74, C75, C76,C77, C78, C79, C80, C84, C89, C92",SB THT V0.16 R1.5c,,SMT,,,,,,,Tele,,,
19,3,3,100µ 10V+ +-20%,1206,"C81, C86, C87",SB THT V0.16 R1.5c,,SMT,,,,,,,Tele,,,
20,4,4,10µ 10V+ +-10% sonst +-20%,0603,"C82, C83, C85, C88",SB THT V0.16 R1.5c,,SMT,,,,,,,Tele,,,
21,5,1,10k,0402,R1X,SB THT V0.16 R1.5c,,SMT,,,,,,,Tele,,,
22,6,3,0R,0402,"R23, R24, R2X",SB THT V0.16 R1.5c,,SMT,,,,,,,Tele,,AN prüfen,
23,7,1,100R,0402,R25,SB THT V0.16 R1.5c,,SMT,,,,,,,Tele,,,
24,8,2,CMV12000ANDON,10-30-07-237-400T4,SENSOR,SB THT V0.16 R1.5c,,THT,,,,,,,apertus,,Werkzeug für definierte Eindrucktiefe -> Manfred,
25,9,3,SN74AVC4T774RSV,QFN40P185X265X55-16N,"U4, U5, U6",SB THT V0.16 R1.5c,,SMT,,,,,,,apertus,,4-BIT DUAL-SUPPLY BUS TRANSCEIVER,
26,10,1,LM75BGD,SOT996-2/3,U7,SB THT V0.16 R1.5c,,SMT,,,,,,,apertus,,Digital temperature sensor and thermal watchdog,
27,11,1,BR24G04NUX,DFN200X300X100-9N,UEP,SB THT V0.16 R1.5c,,SMT,,,,,,,apertus,,EEPROM,
28,12,2,High Density B2B Connector,FX10A-144P-SV(71),"X-NORTH, X-SOUTH",SB THT V0.16 R1.5c,BOT,SMT,,H123290-ND,,,,FX10A-144P-SV(71),apertus,,"gibt keine variante mit Pick and place pads, geht direkt auf in stecker ansaugen? https://datasheet.octopart.com/FX10A-144P-SV%2871%29-Hirose-datasheet-48343725.pdf",
,,,,,,,,,,,,,,,,,,
34,1,1,100n 10V+,0402,C1,IB V0.13 R1.3,,SMT,,,,,,,Tele,,,
35,2,8,47u 10V+,0805,"C2, C3, C4, C5, C6, C7, C8, C9",IB V0.13 R1.3,,SMT,,,,,,,Tele,,,
36,3,1,10k,0402,R1,IB V0.13 R1.3,,SMT,,,,,,,Tele,,,
37,4,1,0R,0402,R2,IB V0.13 R1.3,,SMT,,,,,,,Tele,,,
