BOM combines:					Creation process: pcbom.ulp -> csv with all parameters, open csv, copy paste here, manually rearrange coloumns							Legend:										
axiom_beta_main_board_v0.37 R1.1					axiom_beta_power_board_v0.37 R1.2							light orange lines are THT components										
axiom_beta_interface_dummy_v0.13_r1.2					axiom_beta_sensor_cmv12000_tht_v0.16_r1.4c							Red Text means something needs attention 										
																						
ID	Sub-ID	mehrfach	Qty	Description	Package	Schematic Reference (Silkscreen)	Combined Sch. Reference (*.asc)	PCB	Side	Mount	Tele ID	Digi-Key	Farnell	Mouser	Manufacturer	MPN	Source	Packaging	Stock (11/2020)	Note	Insurance Value (pc)	Datasheet
1	1		12	100n 10V+	0402	C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C41, C42	C9_MB,  C10_MB,  C11_MB,  C12_MB,  C13_MB,  C14_MB,  C15_MB,  C16_MB,  C17_MB,  C18_MB,  C41_MB,  C42_MB	MB V0.37 R1.1	BOT	SMT	020614 		8819742			GRM155R71C104KA88D	Tele	8mm Reel		KERK SMD 100n 0402 T:X5R +-10% 16V 85°C 		
2	2		23	10n 10V+	0402	C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C43	C19_MB,  C20_MB,  C21_MB,  C22_MB,  C23_MB,  C24_MB,  C25_MB,  C26_MB,  C27_MB,  C28_MB,  C29_MB,  C30_MB,  C31_MB,  C32_MB,  C33_MB,  C34_MB,  C35_MB,  C36_MB,  C37_MB,  C38_MB,  C39_MB,  C40_MB,  C43_MB	MB V0.37 R1.1	BOT	SMT			1828864		Murata 	GRM155R71C103KA01D	apertus	8mm Tape		lagernd im hub		
3	3		1	Pin Header	1X02M/90-S	JP1	JP1_MB	MB V0.37 R1.1	TOP	THT							apertus		ca 14 stk, bestellen	2mm grid, header, male 90°	TODO	
4	4		2	High Density B2B Connector	DF12(XX)-20DP-0.5V	PB-NW, PB-SE	PB-NW_MB,  PB-SE_MB	MB V0.37 R1.1	BOT	SMT							apertus	16mm Reel		Herbert: ersetzen mit neuen steckern? original discontinued	TODO	TODO
5	5		2	PCI-e Connector	PCIE-36-NOPEG	PCIE-NORTH, PCIE-SOUTH	PCIE-NORTH_MB,  PCIE-SOUTH_MB	MB V0.37 R1.1	BOT	THT			1753906			Samtec PCIE-036-02-F-D-TH	apertus	Tube		PCIe connector for plugin modules	€1.30	https://datasheet.octopart.com/PCIE-036-02-F-D-TH-Samtec-datasheet-97182842.pdf
6	6		4	Pinheader (male)	2X2	PWR-NE, PWR-NW, PWR-SE, PWR-SW	PWR-NE_MB,  PWR-NW_MB,  PWR-SE_MB,  PWR-SW_MB	MB V0.37 R1.1	BOT	THT					Samtec	HTSW-102-14-L-S	apertus			2.54 mm Pitch 2x2 Header	€0.20	https://www.mouser.at/datasheet/2/527/htsw_th-1370242.pdf
7	7		6	4k7 1%	0402	R1, R2, R3, R4, R5, R6	R1_MB,  R2_MB,  R3_MB,  R4_MB,  R5_MB,  R6_MB	MB V0.37 R1.1	BOT	SMT	015773						Tele	8mm Reel		WID SMD 4k7 0402 +-1% 100mW TK100		
8	8		3	10k 1%	0402	R9, R18, R19	R9_MB,  R18_MB,  R19_MB	MB V0.37 R1.1	BOT	SMT	015761						Tele	8mm Reel		WID SMD 10k 0402 +-1% 100mW TK100		
9	9		1	200k 1%	0402	R10	R10_MB	MB V0.37 R1.1	BOT	SMT			2072753				Tele	8mm Reel	bestellen			
10	10		2	MACHXO2-100	MACHXO2-100TQFP	RFE, RFW	RFE_MB,  RFW_MB	MB V0.37 R1.1	TOP	SMT				842-XO21200HC6TG100C			apertus	Tray	bestellen	Lattice MachXO2 FPGA	€8.50	https://datasheet.octopart.com/LCMXO2-1200HC-6TG100C-Lattice-Semiconductor-datasheet-21771964.pdf
